time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
2026-08-28T00:00,34.0,16.0,193.0,10.2,5.1,43.0,76,26.4,85,1003.8,15.2
2026-08-28T01:00,35.9,16.8,154.0,8.5,4.7,44.0,75,26.2,87,1003.7,14.3
2026-08-28T02:00,29.0,14.2,126.0,7.1,4.4,45.0,75,26.0,89,1003.1,13.9
2026-08-28T03:00,26.3,12.9,112.0,6.1,4.2,46.0,74,25.8,90,1002.8,13.0
2026-08-28T04:00,25.6,12.4,108.0,5.4,4.2,46.0,74,25.8,90,1002.8,13.0
2026-08-28T05:00,29.3,13.3,122.0,5.1,4.4,47.0,73,25.8,91,1003.0,14.6
2026-08-28T06:00,27.2,13.0,173.0,6.7,4.7,46.0,73,25.7,92,1003.2,14.3
2026-08-28T07:00,29.9,14.2,243.0,8.9,5.1,46.0,72,26.0,90,1003.8,14.9
2026-08-28T08:00,31.8,14.7,284.0,10.0,5.4,47.0,71,27.1,81,1004.1,16.8
2026-08-28T09:00,38.8,18.2,265.0,8.9,5.3,53.0,70,28.1,75,1004.2,17.5
2026-08-28T10:00,39.7,18.7,217.0,6.6,5.1,60.0,70,29.1,70,1004.2,17.8
2026-08-28T11:00,37.6,18.5,182.0,4.8,4.9,67.0,69,29.6,65,1004.5,19.2
2026-08-28T12:00,36.3,18.3,178.0,3.9,4.7,72.0,68,29.4,65,1004.0,18.5
2026-08-28T13:00,36.1,18.4,187.0,3.3,4.6,75.0,67,29.6,65,1003.5,17.8
2026-08-28T14:00,36.0,18.6,199.0,3.4,4.5,75.0,67,30.2,63,1002.9,17.4
2026-08-28T15:00,36.3,18.8,213.0,4.3,4.5,70.0,66,29.4,69,1002.4,18.0
2026-08-28T16:00,36.2,18.9,230.0,5.8,4.5,62.0,66,28.9,71,1002.0,18.3
2026-08-28T17:00,35.4,18.7,239.0,7.4,4.5,55.0,65,28.5,73,1001.8,18.1
2026-08-28T18:00,34.3,18.6,235.0,9.1,4.5,49.0,65,27.4,80,1002.0,18.5
2026-08-28T19:00,33.9,18.8,223.0,10.7,4.6,44.0,65,26.7,86,1002.3,18.3
2026-08-28T20:00,27.9,15.1,211.0,11.7,4.6,41.0,65,26.4,88,1002.8,17.2
2026-08-28T21:00,24.9,14.0,202.0,11.5,4.6,40.0,64,26.4,86,1003.5,16.7
2026-08-28T22:00,23.9,13.5,192.0,10.5,4.6,40.0,64,26.4,88,1004.3,15.6
2026-08-28T23:00,24.0,13.4,179.0,9.4,4.5,41.0,64,26.2,89,1004.4,14.7
2026-08-29T00:00,25.1,13.9,158.0,8.3,4.3,42.0,64,26.1,90,1004.4,14.1
2026-08-29T01:00,23.3,13.0,133.0,7.1,4.1,42.0,63,26.0,90,1003.8,14.3
2026-08-29T02:00,21.4,12.0,116.0,6.1,4.0,43.0,63,25.8,91,1003.3,15.3
2026-08-29T03:00,20.3,11.3,107.0,5.3,4.0,43.0,63,25.6,90,1002.8,14.6
2026-08-29T04:00,20.3,11.0,105.0,4.8,4.0,43.0,63,25.7,90,1002.7,15.8
2026-08-29T05:00,20.1,10.9,118.0,4.8,4.0,43.0,63,25.6,91,1002.6,16.3
2026-08-29T06:00,21.3,11.2,164.0,6.1,4.1,42.0,62,25.6,90,1002.9,17.0
2026-08-29T07:00,24.9,12.6,225.0,8.0,4.2,42.0,62,25.9,88,1003.6,17.5
2026-08-29T08:00,30.4,15.5,260.0,8.9,4.3,43.0,62,26.7,82,1004.1,19.4
2026-08-29T09:00,33.2,17.2,244.0,7.8,4.3,48.0,62,27.8,75,1004.4,20.7
2026-08-29T10:00,34.0,17.1,201.0,5.8,4.2,54.0,62,28.4,71,1004.4,21.2
2026-08-29T11:00,33.9,17.5,170.0,4.1,4.1,60.0,62,28.9,68,1004.3,21.1
2026-08-29T12:00,34.6,17.9,164.0,3.3,4.0,64.0,62,29.3,67,1004.1,21.0
2026-08-29T13:00,35.4,18.2,168.0,2.9,3.9,67.0,62,29.6,66,1003.5,21.3
2026-08-29T14:00,35.3,18.3,177.0,3.0,3.8,68.0,62,29.3,67,1002.7,21.3
2026-08-29T15:00,34.0,17.8,192.0,3.8,3.8,65.0,62,28.9,70,1002.0,21.1
2026-08-29T16:00,33.6,17.6,211.0,5.1,3.8,59.0,62,28.7,71,1001.4,20.1
2026-08-29T17:00,32.4,17.2,225.0,6.6,3.9,53.0,62,28.0,75,1001.1,20.0
2026-08-29T18:00,31.8,17.4,229.0,8.4,4.0,49.0,62,27.4,78,1001.0,19.8
2026-08-29T19:00,31.5,17.6,227.0,10.3,4.0,45.0,62,26.8,82,1001.4,18.3
2026-08-29T20:00,32.7,18.5,222.0,11.4,4.1,42.0,61,26.7,83,1002.2,16.0
2026-08-29T21:00,27.0,14.9,217.0,11.3,4.2,41.0,62,26.3,87,1002.9,13.8
2026-08-29T22:00,23.1,12.8,210.0,10.5,4.2,41.0,62,26.2,87,1003.5,13.4
2026-08-29T23:00,22.6,12.6,196.0,9.4,4.2,42.0,62,26.0,88,1003.6,14.5
2026-08-30T00:00,22.1,12.3,171.0,8.0,3.9,43.0,62,25.9,89,1003.3,15.1
2026-08-30T01:00,22.4,12.3,139.0,6.4,3.6,43.0,62,25.7,91,1002.5,16.0
2026-08-30T02:00,21.4,11.5,116.0,5.1,3.3,44.0,61,25.6,90,1001.9,16.6
2026-08-30T03:00,22.2,11.5,105.0,4.3,3.2,44.0,61,25.6,90,1001.5,16.8
2026-08-30T04:00,21.8,11.1,103.0,3.9,3.2,45.0,61,25.7,89,1001.3,18.0
2026-08-30T05:00,21.8,11.2,111.0,3.9,3.3,45.0,61,25.6,89,1001.3,18.3
2026-08-30T06:00,22.6,11.4,137.0,4.6,3.5,45.0,61,25.6,89,1001.6,17.1
2026-08-30T07:00,24.8,12.4,174.0,5.6,3.7,45.0,61,25.8,88,1002.1,17.3
2026-08-30T08:00,27.9,13.2,195.0,6.1,3.9,47.0,61,26.5,83,1002.9,19.9
2026-08-30T09:00,36.2,17.5,187.0,5.4,4.0,51.0,61,27.5,76,1003.5,20.0
2026-08-30T10:00,36.2,17.5,164.0,4.1,3.9,56.0,61,28.2,73,1003.9,20.6
2026-08-30T11:00,36.7,17.5,146.0,3.1,3.9,61.0,61,28.6,71,1004.0,20.9
2026-08-30T12:00,36.1,17.5,142.0,2.5,3.8,65.0,61,28.7,71,1003.6,21.1
2026-08-30T13:00,35.5,17.4,143.0,2.2,3.8,67.0,61,29.3,68,1002.9,21.2
2026-08-30T14:00,35.0,17.3,147.0,2.3,3.7,68.0,61,28.8,71,1002.3,20.6
2026-08-30T15:00,34.0,17.1,154.0,2.8,3.7,65.0,61,28.5,72,1001.8,20.1
2026-08-30T16:00,32.2,16.6,163.0,3.8,3.7,60.0,61,28.3,73,1001.5,20.7
2026-08-30T17:00,31.0,16.3,171.0,4.8,3.8,55.0,61,27.9,74,1001.3,20.0
2026-08-30T18:00,29.9,16.3,177.0,6.1,4.0,51.0,61,27.4,78,1001.3,19.5
2026-08-30T19:00,29.9,16.6,182.0,7.5,4.2,46.0,61,26.8,80,1001.7,18.0
2026-08-30T20:00,25.3,14.4,183.0,8.4,4.3,43.0,61,26.4,86,1002.6,16.5
2026-08-30T21:00,21.1,12.1,180.0,8.4,4.3,41.0,60,26.2,87,1003.5,15.1
2026-08-30T22:00,21.0,11.9,172.0,7.8,4.3,41.0,60,26.1,88,1004.1,14.7
2026-08-30T23:00,27.3,14.1,162.0,7.1,4.2,41.0,60,26.0,88,1004.3,14.3
